user,size
36714467.0,14.0
36821818.0,11.0
36827333.0,10.0
36977197.0,194.0
36997270.0,16.0
37037157.0,65.0
37048835.0,33.0
37071505.0,58.0
37213910.0,100.0
37243804.0,455.0
37284125.0,180.0
37443745.0,117.0
37458452.0,128.0
37459134.0,48.0
37501262.0,12.0
37523584.0,67.0
37571281.0,18.0
37572384.0,15.0
37749233.0,106.0
37921404.0,13.0
37997913.0,144.0
38009958.0,35.0
38026721.0,16.0
38057587.0,569.0
38107043.0,216.0
38210788.0,13.0
38218220.0,10.0
38281937.0,144.0
38324040.0,12.0
38351892.0,13.0
38468220.0,17.0
38494487.0,26.0
38525519.0,13.0
38528765.0,87.0
38597506.0,140.0
38673127.0,14.0
38728587.0,12.0
38931426.0,34.0
38966936.0,15.0
39047607.0,13.0
39051275.0,10.0
39099480.0,25.0
39165493.0,12.0
39170253.0,146.0
39187521.0,15.0
39249973.0,12.0
39282213.0,85.0
39326103.0,14.0
39415403.0,248.0
39423354.0,13.0
39529086.0,30.0
39559604.0,12.0
39672666.0,28.0
39681251.0,83.0
39862339.0,15.0
39892789.0,127.0
39997257.0,15.0
40044028.0,13.0
40092076.0,11.0
40099443.0,37.0
40114214.0,162.0
40138974.0,12.0
40148785.0,31.0
40149538.0,19.0
40156107.0,26.0
40197719.0,13.0
40280950.0,130.0
40378935.0,82.0
40381848.0,14.0
40398774.0,49.0
40470331.0,441.0
40494359.0,69.0
40520929.0,26.0
40670283.0,51.0
40713622.0,55.0
40780952.0,17.0
40882759.0,16.0
40918920.0,274.0
40926033.0,34.0
40976314.0,18.0
40996717.0,268.0
41211999.0,28.0
41254178.0,127.0
41262839.0,624.0
41274392.0,22.0
41474458.0,65.0
41542143.0,41.0
41601053.0,15.0
41620153.0,120.0
41641466.0,28.0
41648722.0,14.0
41666795.0,60.0
41671663.0,27.0
41706406.0,18.0
41753081.0,38.0
41822962.0,30.0
41836683.0,12.0
41950202.0,24.0
41983097.0,15.0
42074667.0,84.0
42079836.0,18.0
42282803.0,22.0
42296955.0,36.0
42316337.0,30.0
42345627.0,12.0
42418637.0,96.0
42521111.0,18.0
42546031.0,182.0
42546860.0,12.0
42675221.0,30.0
42705680.0,30.0
42719794.0,24.0
42766030.0,44.0
42947972.0,15.0
43002789.0,1030.0
43013056.0,10.0
43191420.0,90.0
43196908.0,12.0
43251391.0,12.0
43336073.0,50.0
43438203.0,48.0
43499083.0,18.0
43602975.0,90.0
43609929.0,25.0
43639089.0,115.0
43696733.0,74.0
43709923.0,99.0
43730950.0,12.0
43735180.0,12.0
43780564.0,81.0
43885961.0,270.0
43905052.0,11.0
44009994.0,52.0
44021346.0,14.0
44183146.0,12.0
44225395.0,27.0
44236228.0,12.0
44347214.0,11.0
44477678.0,39.0
44625621.0,31.0
44702805.0,18.0
44813870.0,10.0
44926246.0,86.0
44988613.0,20.0
45077955.0,14.0
45215551.0,39.0
45247051.0,12.0
45470777.0,233.0
45489659.0,41.0
45492746.0,17.0
45495169.0,24.0
45631332.0,26.0
45695478.0,37.0
45732931.0,324.0
45745567.0,365.0
45756149.0,15.0
45770205.0,34.0
45850665.0,11.0
45927425.0,91.0
45937885.0,12.0
45951024.0,65.0
45964771.0,87.0
45967642.0,351.0
46103686.0,24.0
46229307.0,62.0
46253228.0,165.0
46291977.0,34.0
46397611.0,17.0
46441974.0,52.0
46530511.0,38.0
46537183.0,216.0
46573966.0,32.0
46710018.0,20.0
46723431.0,215.0
46727375.0,26.0
47037639.0,28.0
47104156.0,10.0
47130097.0,24.0
47171479.0,49.0
47181427.0,381.0
47253965.0,28.0
47430320.0,135.0
47495440.0,122.0
47521461.0,32.0
47608071.0,11.0
47625860.0,70.0
47784497.0,23.0
47785745.0,36.0
47957817.0,11.0
48058151.0,14.0
48070733.0,11.0
48157361.0,180.0
48205614.0,17.0
48247505.0,249.0
48357184.0,267.0
48425985.0,15.0
48582855.0,73.0
48605657.0,26.0
48733190.0,18.0
48738133.0,19.0
48743470.0,189.0
48748710.0,55.0
48765640.0,51.0
48804725.0,14.0
49045825.0,18.0
49106135.0,44.0
49148732.0,206.0
49306481.0,11.0
49341087.0,15.0
49383698.0,30.0
49468928.0,45.0
49479363.0,105.0
49631737.0,21.0
49693592.0,10.0
49765514.0,116.0
49830026.0,49.0
49873110.0,129.0
49901006.0,19.0
49904499.0,19.0
49957497.0,16.0
49988343.0,40.0
50129832.0,356.0
50226582.0,47.0
50320242.0,25.0
50463543.0,129.0
50513061.0,29.0
50658248.0,166.0
50669339.0,162.0
50682203.0,255.0
50706690.0,1581.0
50712221.0,557.0
50724024.0,598.0
50737331.0,163.0
50738614.0,225.0
50748707.0,14.0
50864611.0,30.0
50876058.0,114.0
50900838.0,128.0
50908543.0,21.0
50916401.0,41.0
51101654.0,12.0
51136532.0,630.0
51167845.0,35.0
51261064.0,74.0
51474258.0,402.0
51543590.0,15.0
51557438.0,12.0
51604013.0,16.0
51610972.0,33.0
51837817.0,21.0
52052275.0,72.0
52081838.0,137.0
52156269.0,224.0
52184423.0,14.0
52218564.0,310.0
52288591.0,188.0
52392607.0,25.0
52521170.0,11.0
52557061.0,25.0
52630434.0,466.0
52799353.0,42.0
52863106.0,27.0
52992588.0,222.0
53160138.0,18.0
53188062.0,15.0
53197315.0,77.0
53214062.0,28.0
53248316.0,15.0
53315531.0,141.0
53409591.0,66.0
53466569.0,12.0
53538172.0,154.0
53665483.0,55.0
54015206.0,32.0
54016073.0,17.0
54056970.0,12.0
54069608.0,15.0
54095646.0,84.0
54251224.0,22.0
54416516.0,15.0
54553758.0,917.0
54580565.0,11.0
54654926.0,11.0
54697023.0,12.0
54749817.0,37.0
54784302.0,23.0
54808305.0,34.0
54821426.0,65.0
55058866.0,13.0
55106613.0,15.0
55111635.0,15.0
55217587.0,13.0
55228911.0,12.0
55230316.0,25.0
55246119.0,294.0
55296413.0,24.0
55461047.0,824.0
55489481.0,70.0
55539266.0,75.0
55728644.0,15.0
55735983.0,480.0
55849244.0,23.0
55942743.0,34.0
56096441.0,12.0
56109261.0,21.0
56195719.0,12.0
56259524.0,70.0
56378785.0,32.0
56383923.0,18.0
56478692.0,12.0
56497436.0,16.0
56501179.0,14.0
56516460.0,17.0
56523657.0,15.0
56563976.0,54.0
56674295.0,17.0
56678518.0,70.0
56727950.0,18.0
56749521.0,12.0
56798292.0,12.0
56855147.0,21.0
57181609.0,61.0
57398707.0,12.0
57457283.0,30.0
57480548.0,127.0
57529340.0,104.0
57534466.0,55.0
57558629.0,19.0
57571642.0,24.0
57690953.0,21.0
57698998.0,71.0
57732643.0,21.0
57765473.0,17.0
57857219.0,14.0
57936905.0,10.0
57940248.0,155.0
57950094.0,250.0
57984032.0,65.0
58007379.0,49.0
58145778.0,11.0
58303503.0,12.0
58303871.0,17.0
58320710.0,78.0
58327595.0,31.0
58578021.0,28.0
58715285.0,25.0
58809480.0,38.0
58953570.0,33.0
59019927.0,78.0
59198077.0,53.0
59208277.0,31.0
59287473.0,27.0
59295914.0,11.0
59334926.0,68.0
59473082.0,69.0
59553099.0,10.0
59599454.0,10.0
59642039.0,24.0
59649598.0,28.0
59695127.0,177.0
59699369.0,54.0
59800703.0,186.0
59892795.0,49.0
60163902.0,47.0
60253573.0,245.0
60343127.0,81.0
60401324.0,20.0
60434210.0,23.0
60687886.0,10.0
60726440.0,162.0
60781786.0,148.0
61199268.0,133.0
61210309.0,243.0
61274985.0,17.0
61347950.0,548.0
61399520.0,11.0
61481954.0,38.0
61566542.0,2448.0
61568018.0,345.0
61629693.0,13.0
61923237.0,42.0
62011750.0,12.0
62239108.0,45.0
62360104.0,15.0
62423455.0,17.0
62431598.0,471.0
62584771.0,124.0
62641838.0,28.0
62869516.0,10.0
62973744.0,11.0
62979723.0,37.0
63051013.0,29.0
63208858.0,17.0
63370441.0,339.0
63372260.0,208.0
63535697.0,61.0
63642620.0,17.0
63845667.0,196.0
64056126.0,81.0
64107533.0,12.0
64122734.0,50.0
64444012.0,32.0
64517904.0,271.0
64541329.0,192.0
64587591.0,104.0
